Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú,Mã trường,Năm xét tuyển
7220201,Ngôn ngữ Anh,A01;D01;D09;D10,35.6,Môn Tiếng Anh hệ số 2,KHA,2024
7310101_1,Kinh tế học (ngành Kinh tế),A00;A01;D01;D07,27.2,,KHA,2024
7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00;A01;D01;D07,27.01,,KHA,2024
7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00;A01;D01;D07,27.34,,KHA,2024
7310104,Kinh tế đầu tư,A00;A01;D01;D07,27.4,,KHA,2024
7310105,Kinh tế phát triển,A00;A01;D01;D07,27.2,,KHA,2024
7310106,Kinh tế quốc tế,A00;A01;D01;D07,27.54,,KHA,2024
7310107,Thống kê kinh tế,A00;A01;D01;D07,36.23,Môn Toán hệ số 2,KHA,2024
7310108,Toán kinh tế,A00;A01;D01;D07,36.2,Môn Toán hệ số 2,KHA,2024
7320108,Quan hệ công chúng,A01;D01;C03;C04,28.18,,KHA,2024
7340101,Quản trị kinh doanh,A00;A01;D01;D07,27.15,,KHA,2024
7340115,Marketing,A00;A01;D01;D07,27.78,,KHA,2024
7340116,Bất động sản,A00;A01;D01;D07,26.83,,KHA,2024
7340120,Kinh doanh quốc tế,A00;A01;D01;D07,27.71,,KHA,2024
7340121,Kinh doanh thương mại,A00;A01;D01;D07,27.57,,KHA,2024
7340122,Thương mại điện tử,A00;A01;D01;D07,28.02,,KHA,2024
7340201,Tài chính - Ngân hàng,A00;A01;D01;D07,27.3,,KHA,2024
7340204,Bảo hiểm,A00;A01;D01;D07,26.71,,KHA,2024
7340301,Kế toán,A00;A01;D01;D07,27.29,,KHA,2024
7340302,Kiểm toán,A00;A01;D01;D07,27.79,,KHA,2024
7340401,Khoa học quản lý,A00;A01;D01;D07,27.1,,KHA,2024
7340403,Quản lý công,A00;A01;D01;D07,26.96,,KHA,2024
7340404,Quản trị nhân lực,A00;A01;D01;D07,27.25,,KHA,2024
7340405,Hệ thống thông tin quản lý,A00;A01;D01;D07,36.36,Môn Toán hệ số 2,KHA,2024
7340409,Quản lý dự án,A00;A01;D01;D07,27.15,,KHA,2024
7380101,Luật,A00;A01;D01;D07,26.91,,KHA,2024
7380107,Luật kinh tế,A00;A01;D01;D07,27.05,,KHA,2024
7480101,Khoa học máy tính,A00;A01;D01;D07,35.55,Môn Toán hệ số 2,KHA,2024
7480104,Hệ thống thông tin,A00;A01;D01;D07,35.94,Môn Toán hệ số 2,KHA,2024
7480201,Công nghệ thông tin,A00;A01;D01;D07,35.17,Môn Toán hệ số 2,KHA,2024
7480202,An toàn thông tin,A00;A01;D01;D07,35.0,Môn Toán hệ số 2,KHA,2024
7510605,Logistics và Quản lý chuỗi cung ứng,A00;A01;D01;D07,27.89,,KHA,2024
7620114,Kinh doanh nông nghiệp,A00;A01;D01;D07,26.81,,KHA,2024
7620115,Kinh tế nông nghiệp,A00;A01;D01;D07,26.85,,KHA,2024
7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D07,26.71,,KHA,2024
7810201,Quản trị khách sạn,A00;A01;D01;D07,26.94,,KHA,2024
7850101,Quản lý tài nguyên và môi trường,A00;A01;D01;D07,26.76,,KHA,2024
7850102,Kinh tế tài nguyên thiên nhiên,A00;A01;D01;D07,26.87,,KHA,2024
7850103,Quản lý đất đai,A00;A01;D01;D07,26.85,,KHA,2024
EBBA,Quản trị kinh doanh (E-BBA),A00;A01;D01;D07,27.01,,KHA,2024
EP01,Khởi nghiệp và phát triển kinh doanh (BBAE)/ngành QTKD,A01;D01;D07;D09,36.25,Môn Tiếng Anh hệ số 2,KHA,2024
EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00;A01;D01;D07,26.57,,KHA,2024
EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),A00;A01;D01;D07,26.97,,KHA,2024
EP04,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00;A01;D01;D07,27.2,,KHA,2024
EP05,Kinh doanh số (E-BDB)/ngành QTKD,A00;A01;D01;D07,27.0,,KHA,2024
EP06,Phân tích kinh doanh (BA)/ngành QTKD,A00;A01;D01;D07,27.48,,KHA,2024
EP07,Quản trị điều hành thông minh (E-SOM)/ngành QTKD,A01;D01;D07;D10,26.96,,KHA,2024
EP08,Quản trị chất lượng và Đổi mới (E-MQI)/ngành QTKD,A01;D01;D07;D10,26.86,,KHA,2024
EP09,Công nghệ tài chính (BFT)/ngành TC-NH,A00;A01;D01;D07,26.96,,KHA,2024
EP10,Tài chính và Đầu tư (BFI)/ngành TC-NH,A01;D01;D07;D10,36.36,Môn Tiếng Anh hệ số 2,KHA,2024
EP11,Quản trị khách sạn quốc tế (IHME),A01;D01;D09;D10,35.65,Môn Tiếng Anh hệ số 2,KHA,2024
EP12,Kiểm toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00;A01;D01;D07,27.45,,KHA,2024
EP13,Kinh tế tài chính (FE)/ngành Kinh tế,A00;A01;D01;D07,26.96,,KHA,2024
EP14,Logistics và Quản lý CCU tích hợp chứng chỉ Logistic quốc tế (LSIC),A01;D01;D07;D10,36.42,Môn Tiếng Anh hệ số 2,KHA,2024
EP15,Khoa học dữ liệu,A00;A01;D01;D07,35.46,Môn Toán hệ số 2,KHA,2024
EP16,Trí tuệ nhân tạo,A00;A01;D01;D07,34.5,Môn Toán hệ số 2,KHA,2024
EP17,Kỹ thuật phần mềm,A00;A01;D01;D07,34.06,Môn Toán hệ số 2,KHA,2024
EP18,Quản trị giải trí và sự kiện,A01;D01;D09;D10,36.55,Môn Tiếng Anh hệ số 2,KHA,2024
EPMP,Quản lý công và Chính sách (E-PMP)/ngành Kinh tế,A00;A01;D01;D07,26.7,,KHA,2024
POHE1,Quản trị khách sạn,A01;D01;D07;D09,35.8,Môn Tiếng Anh hệ số 2,KHA,2024
POHE2,Quản trị lữ hành,A01;D01;D07;D09,35.75,Môn Tiếng Anh hệ số 2,KHA,2024
POHE3,Truyền thông Marketing,A01;D01;D07;D09,37.49,Môn Tiếng Anh hệ số 2,KHA,2024
POHE4,Luật kinh doanh,A01;D01;D07;D09,35.26,Môn Tiếng Anh hệ số 2,KHA,2024
POHE5,Quản trị kinh doanh thương mại,A01;D01;D07;D09,36.59,Môn Tiếng Anh hệ số 2,KHA,2024
POHE6,Quản lý thị trường,A01;D01;D07;D09,35.88,Môn Tiếng Anh hệ số 2,KHA,2024
POHE7,Thẩm định giá,A01;D01;D07;D09,36.05,Môn Tiếng Anh hệ số 2,KHA,2024
7220201,Ngôn ngữ Anh (tiếng Anh hệ số 2),A01;D01;D09;D10,36.5,,KHA,2023
7310101_1,Kinh tế học (ngành Kinh tế),A00;A01;D01;D07,27.1,,KHA,2023
7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00;A01;D01;D07,27.05,,KHA,2023
7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00;A01;D01;D07,27.15,,KHA,2023
7310104,Kinh tế đầu tư,A00;A01;D01;B00,27.5,,KHA,2023
7310105,Kinh tế phát triển,A00;A01;D01;D07,27.35,,KHA,2023
7310106,Kinh tế quốc tế,A00;A01;D01;D07,27.35,,KHA,2023
7310107,Thống kê kinh tế (Toán hệ số 2),A00;A01;D01;D07,36.2,,KHA,2023
7310108,Toán kinh tế (Toán hệ số 2),A00;A01;D01;D07,35.95,,KHA,2023
7320108,Quan hệ công chúng,A01;D01;C03;C04,27.2,,KHA,2023
7340101,Quản trị kinh doanh,A00;A01;D01;D07,27.25,,KHA,2023
7340115,Marketing,A00;A01;D01;D07,27.55,,KHA,2023
7340116,Bất động sản,A00;A01;D01;D07,26.4,,KHA,2023
7340120,Kinh doanh quốc tế,A00;A01;D01;D07,27.5,,KHA,2023
7340121,Kinh doanh thương mại,A00;A01;D01;D07,27.35,,KHA,2023
7340122,Thương mại điện tử,A00;A01;D01;D07,27.65,,KHA,2023
7340201,Tài chính - Ngân hàng,A00;A01;D01;D07,27.1,,KHA,2023
7340204,Bảo hiểm,A00;A01;D01;D07,26.4,,KHA,2023
7340301,Kế toán,A00;A01;D01;D07,27.05,,KHA,2023
7340302,Kiểm toán,A00;A01;D01;D07,27.2,,KHA,2023
7340401,Khoa học quản lý,A00;A01;D01;D07,27.05,,KHA,2023
7340403,Quản lý công,A00;A01;D01;D07,26.75,,KHA,2023
7340404,Quản trị nhân lực,A00;A01;D01;D07,27.1,,KHA,2023
7340405,Hệ thống thông tin quản lý (Toán hệ số 2),A00;A01;D01;D07,36.15,,KHA,2023
7340409,Quản lý dự án,A00;A01;D01;B00,27.15,,KHA,2023
7380101,Luật,A00;A01;D01;D07,26.6,,KHA,2023
7380107,Luật kinh tế,A00;A01;D01;D07,26.85,,KHA,2023
7480101,Khoa học máy tính (Toán hệ số 2),A00;A01;D01;D07,35.35,,KHA,2023
7480201,Công nghệ thông tin (Toán hệ số 2),A00;A01;D01;D07,35.3,,KHA,2023
7510605,Logistics và quản lý chuỗi cung ứng,A00;A01;D01;D07,27.4,,KHA,2023
7620114,Kinh doanh nông nghiệp,A00;A01;D01;B00,26.6,,KHA,2023
7620115,Kinh tế nông nghiệp,A00;A01;D01;B00,26.2,,KHA,2023
7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D07,26.75,,KHA,2023
7810201,Quản trị khách sạn,A00;A01;D01;D07,26.75,,KHA,2023
7850101,Quản lý tài nguyên và môi trường,A00;A01;D01;D07,26.4,,KHA,2023
7850102,Kinh tế tài nguyên thiên nhiên,A00;A01;D01;B00,26.35,,KHA,2023
7850103,Quản lý đất đai,A00;A01;D01;D07,26.55,,KHA,2023
EBBA,Quản trị kinh doanh (E-BBA),A00;A01;D01;D07,27.1,,KHA,2023
EP01,Khởi nghiệp và phát triển kinh doan (BBAE)(tiếng Anh hệ số 2),A01;D01;D07;D09,36.1,,KHA,2023
EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00;A01;D01;D07,26.45,,KHA,2023
EP03,Khoa học dữ liệu trong KT & KD (DSEB),A00;A01;D01;D07,26.85,,KHA,2023
EP04,Kế toán tích hợp chứng chỉ quốc tế (ACT-ICAEW),A00;A01;D01;D07,26.9,,KHA,2023
EP05,Kinh doanh số (E-BDB),A00;A01;D01;D07,26.85,,KHA,2023
EP06,Phân tích kinh doanh (BA),A00;A01;D01;D07,27.15,,KHA,2023
EP07,Quản trị điều hành thông minh (E-SOM),A01;D01;D07;D10,26.65,,KHA,2023
EP08,Quản trị chất lượng và Đổi mới (E-MQI),A01;D01;D07;D10,26.6,,KHA,2023
EP09,Công nghệ tài chính (BFT),A00;A01;D01;D07,26.75,,KHA,2023
EP10,Tài chính và Đầu tư (BFI) (tiếng Anh hệ số 2),A01;D01;D07;D10,36.5,,KHA,2023
EP11,Quản trị khách sạn quốc tế (IHME) (tiếng Anh hệ số 2),A01;D01;D09;D10,35.75,,KHA,2023
EP12,Kiểm toán tích hợp CCQT (AUD-ICAEW),A00;A01;D01;D07,27.2,,KHA,2023
EP13,Kinh tế học tài chính (FE),A00;A01;D01;D07,26.75,,KHA,2023
EP14,Logistics và QLCCU tích hợp CCQT (LSIC) (tiếng Anh hệ số 2),A01;D01;D07;D10,36.4,,KHA,2023
EPMP,Quản lý công và Chính sách (E-PMP),A00;A01;D01;D07,26.1,,KHA,2023
POHE1,POHE - Quản trị khách sạn  (tiếng Anh hệ số 2),A01;D01;D07;D09,35.65,,KHA,2023
POHE2,POHE - Quản trị lữ hành (tiếng Anh hệ số 2),A01;D01;D07;D09,35.65,,KHA,2023
POHE3,POHE - Truyền thông Marketing  (tiếng Anh hệ số 2),A01;D01;D07;D09,37.1,,KHA,2023
POHE4,POHE - Luật kinh doanh  (tiếng Anh hệ số 2),A01;D01;D07;D09,36.2,,KHA,2023
POHE5,POHE - Quản trị kinh doanh thương mại  (tiếng Anh hệ số 2),A01;D01;D07;D09,36.85,,KHA,2023
POHE6,POHE - Quản lý thị trường  (tiếng Anh hệ số 2),A01;D01;D07;D09,35.65,,KHA,2023
POHE7,POHE - Thẩm định giá  (tiếng Anh hệ số 2),A01;D01;D07;D09,35.85,,KHA,2023
7220201,Ngôn ngữ Anh,A01;D01;D09;D10,35.85,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
