Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
ANH,,Gửi đào tạo ngành Y,B00,25.75,2020,
ANH,7480201_Nam,Ngành Công nghệ thông tin,A00;A01,18.69,2024,Đối với nam (Không tuyển nữ)
ANH,7480202,An toàn thông tin phía Bắc,A00,26.72,2019,
ANH,7480202,An toàn thông tin phía Bắc,A01,24.75,2019,
ANH,7480202,An toàn thông tin phía Nam,A00,24.64,2019,
ANH,7480202,An toàn thông tin phía Nam,A01,21.28,2019,
ANH,7480202,An toàn thông tin,A00,28.03,2020,Phía bắc
ANH,7480202,An toàn thông tin,A01,23.46,2020,Phía bắc
ANH,7480202,An toàn thông tin,A00,27.28,2021,"Điểm trúng tuyển nữ, Phía bắc"
ANH,7480202,An toàn thông tin,A01,29.39,2021,"Điểm trúng tuyển nữ, Phía bắc"
ANH,7480202,An toàn thông tin,A01,22.0,2022,Điểm trúng tuyển nữ; Phía Nam
ANH,7480202,An toàn thông tin,A00,21.84,2022,"Điểm trúng tuyển nam, Phía bắc"
ANH,7480202,An toàn thông tin,A00;A01,17.61,2023,Nam; Miền Nam
ANH,7720101,Y khoa,B00,24.45,2021,Điểm trúng tuyển nam; Phía Bắc
ANH,7720101,Y khoa,B00,15.64,2022,Điểm trúng tuyển nam; Phía Bắc
ANH,7720101,Y khoa,B00,22.5,2023,Nam; Miền Bắc; Điểm xét tuyển từ 14.73 và tổng điểm 03 môn thi THPT (không nhân hệ số; không tính ĐUT) từ 22.5
ANH,7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),B00;A00,18.75,2024,Đối với Nam
ANH,7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),B00;A00,20.85,2024,Đối với Nữ
ANH,7860100,Nghiệp vụ An ninh phía Nam đối với Nữ,C03,25.68,2019,
ANH,7860100,Gửi đào tạo ngành Y,B00,19.79,2019,
ANH,7860100,Nghiệp vụ An ninh phía Nam đối với Nam,C03,22.95,2019,
ANH,7860100,Nghiệp vụ An ninh phía Nam đối với Nam,A01,21.42,2019,
ANH,7860100,Nghiệp vụ An ninh phía Bắc đối với Nữ,D01,25.9,2019,
ANH,7860100,Nghiệp vụ An ninh phía Bắc đối với Nữ,C03,26.64,2019,
ANH,7860100,Nghiệp vụ An ninh phía Bắc đối với Nữ,A01,26.65,2019,
ANH,7860100,Nghiệp vụ An ninh phía Bắc đối với Nam,D01,22.35,2019,
ANH,7860100,Nghiệp vụ An ninh phía Bắc đối với Nam,C03,23.32,2019,
ANH,7860100,Nghiệp vụ An ninh phía Nam đối với Nữ,D01,26.05,2019,
ANH,7860100,Nghiệp vụ An ninh phía Bắc đối với Nam,A01,25.0,2019,
ANH,7860100,Nghiệp vụ An ninh phía Nam đối với Nam,D01,20.55,2019,
ANH,7860100,Nghiệp vụ An ninh phía Nam đối với Nữ,A01,26.24,2019,
ANH,7860100,Nghiệp vụ An ninh,C03,20.66,2020,Đối với nam
ANH,7860100,Nghiệp vụ An ninh,A01,21.54,2020,Đối với nam
ANH,7860100,Nghiệp vụ An ninh,D01,21.78,2020,Đối với nam
ANH,7860100,Nghiệp vụ An ninh,C03,28.55,2021,Điểm trúng tuyển nữ; Địa bàn 1
