nam_thi,mon,bin_start,bin_end,count
2019,Toán,-0.001,0.2,111
2019,Toán,0.2,0.4,6
2019,Toán,0.4,0.6,36
2019,Toán,0.6,0.8,74
2019,Toán,0.8,1.0,228
2019,Toán,1.0,1.2,552
2019,Toán,1.2,1.4,1229
2019,Toán,1.4,1.6,2349
2019,Toán,1.6,1.8,4121
2019,Toán,1.8,2.0,6566
2019,Toán,2.0,2.2,9070
2019,Toán,2.2,2.4,11571
2019,Toán,2.4,2.6,14139
2019,Toán,2.6,2.8,15961
2019,Toán,2.8,3.0,17351
2019,Toán,3.0,3.2,18670
2019,Toán,3.2,3.4,19434
2019,Toán,3.4,3.6,20458
2019,Toán,3.6,3.8,21825
2019,Toán,3.8,4.0,23404
2019,Toán,4.0,4.2,24685
2019,Toán,4.2,4.4,26667
2019,Toán,4.4,4.6,28072
2019,Toán,4.6,4.8,29785
2019,Toán,4.8,5.0,31384
2019,Toán,5.0,5.2,32311
2019,Toán,5.2,5.4,33936
2019,Toán,5.4,5.6,34685
2019,Toán,5.6,5.8,34981
2019,Toán,5.8,6.0,35293
2019,Toán,6.0,6.2,35430
2019,Toán,6.2,6.4,35791
2019,Toán,6.4,6.6,35740
2019,Toán,6.6,6.8,35656
2019,Toán,6.8,7.0,35201
2019,Toán,7.0,7.2,33852
2019,Toán,7.2,7.4,32092
2019,Toán,7.4,7.6,29166
2019,Toán,7.6,7.8,25758
2019,Toán,7.8,8.0,22002
2019,Toán,8.0,8.2,17639
2019,Toán,8.2,8.4,13578
2019,Toán,8.4,8.6,10243
2019,Toán,8.6,8.8,7086
2019,Toán,8.8,9.0,4765
2019,Toán,9.0,9.2,2793
2019,Toán,9.2,9.4,1565
2019,Toán,9.4,9.6,684
2019,Toán,9.6,9.8,182
2019,Toán,9.8,10.0,12
2020,Toán,-0.001,0.2,8
2020,Toán,0.2,0.4,3
2020,Toán,0.4,0.6,9
2020,Toán,0.6,0.8,47
2020,Toán,0.8,1.0,141
2020,Toán,1.0,1.2,308
2020,Toán,1.2,1.4,697
2020,Toán,1.4,1.6,1269
2020,Toán,1.6,1.8,2278
2020,Toán,1.8,2.0,3215
2020,Toán,2.0,2.2,4613
2020,Toán,2.2,2.4,5892
2020,Toán,2.4,2.6,7098
2020,Toán,2.6,2.8,8072
