MA_TINH,TEN_TINH,VI_DO,KINH_DO
01,Hà Nội,21.0295,105.8544
02,Thành phố Hồ Chí Minh,10.7758,106.7018
03,Hải Phòng,20.8589,106.675
04,Đà Nẵng,16.068,108.212
05,Hà Giang,22.8279,104.9823
06,Cao Bằng,22.6658,106.2588
07,Lai Châu,22.3997,103.4517
08,Lào Cai,22.4962,103.968
09,Tuyên Quang,21.7895,105.2168
10,Lạng Sơn,21.8534,106.7618
11,Bắc Kạn,22.1443,105.8344
12,Thái Nguyên,21.5923,105.8342
13,Yên Bái,21.6961,104.8752
14,Sơn La,21.3274,103.9152
15,Phú Thọ,21.3242,105.3881
16,Vĩnh Phúc,21.3114,105.6033
17,Quảng Ninh,20.9528,107.08
18,Bắc Giang,21.2795,106.2038
19,Bắc Ninh,21.1805,106.0653
21,Hải Dương,20.9397,106.331
22,Hưng Yên,20.6583,106.0581
23,Hòa Bình,20.8199,105.3438
24,Hà Nam,20.5447,105.9155
25,Nam Định,20.4272,106.1749
26,Thái Bình,20.448,106.3435
27,Ninh Bình,20.257,105.9717
28,Thanh Hóa,19.8076,105.7768
29,Nghệ An,18.6692,105.6882
30,Hà Tĩnh,18.3453,105.9019
31,Quảng Bình,17.466,106.5985
32,Quảng Trị,16.7468,107.1877
33,Thừa Thiên Huế,16.4639,107.5863
34,Quảng Nam,15.5752,108.4743
35,Quảng Ngãi,15.1228,108.8017
36,Kon Tum,14.3512,108.0027
37,Bình Định,13.7704,109.2327
38,Gia Lai,13.7964,108.2608
39,Phú Yên,13.0877,109.2994
40,Đắk Lắk,12.6797,108.0447
41,Khánh Hòa,12.2432,109.1899
42,Lâm Đồng,11.9402,108.4376
43,Bình Phước,11.539,106.9047
44,Bình Dương,10.9808,106.6537
45,Ninh Thuận,11.577,108.9865
46,Tây Ninh,11.3162,106.0909
47,Bình Thuận,10.931,108.1015
48,Đồng Nai,10.951,106.8226
49,Long An,10.536,106.4048
50,Đồng Tháp,10.462,105.6358
51,An Giang,10.3905,105.4338
52,Bà Rịa-Vũng Tàu,10.4963,107.1688
53,Tiền Giang,10.3606,106.3658
54,Kiên Giang,10.0107,105.0833
55,Cần Thơ,10.0364,105.7875
56,Bến Tre,10.2361,106.3765
57,Vĩnh Long,10.2496,105.9744
58,Trà Vinh,9.9356,106.3416
59,Sóc Trăng,9.6039,105.9744
60,Bạc Liêu,9.2869,105.7228
61,Cà Mau,9.1792,105.1458
62,Điện Biên,21.3875,103.0185
63,Đắk Nông,12.0006,107.696
64,Hậu Giang,9.7832,105.467
