Mã trường,Tên trường,Link
KHA,Đại Học Kinh Tế Quốc Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html
BKA,Đại Học Bách Khoa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html
HTC,Học Viện Tài chính,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-tai-chinh-HTC.html
NHH,Học Viện Ngân Hàng,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-NHH.html
NTH,Trường Đại học Ngoại thương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html
QSB,Trường Đại Học Bách Khoa HCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-hcm-QSB.html
YHB,Trường Đại Học Y Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-ha-noi-YHB.html
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html
SPH,Trường Đại Học Sư Phạm Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ha-noi-SPH.html
TMU,Trường Đại Học Thương Mại,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuong-mai-TMU.html
SPS,Trường Đại Học Sư Phạm TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-tphcm-SPS.html
YDS,Đại Học Y Dược TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-tphcm-YDS.html
QHI,Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html
HNM,Trường Đại học Thủ Đô Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thu-do-ha-noi-HNM.html
GHA,Trường Đại Học Giao Thông Vận Tải,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html
YTB,Trường Đại Học Y Dược Thái Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-thai-binh-YTB.html
KMA,Học Viện Kỹ Thuật Mật Mã,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-mat-ma-KMA.html
