Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú,Môn chính
BMU,7720101,Y khoa,A02;B00;D08,21,2019,,
BMU,7720101,Y khoa,A02;B00;B08;D34,23,2020,,
BMU,7720101,Y Khoa,A02;B00;D08,24,2021,,
BMU,7720101,Y khoa,A02;B00;B08,23,2022,,
BMU,7720101,Y khoa,A00;A02;B00;B08,22.75,2023,,
BMU,7720101,Y khoa,A00;A02;B00;B08,24,2024,,
BMU,7720101,Y khoa,A00;A01;A02;B00;B05;B08;D07,22,2025,,
BMU,7720201,Dược học,A00;B00;D07,20,2019,,
BMU,7720201,Dược học,A00;B00;D07;D24,21,2020,,
BMU,7720201,Dược học,A00;B00;D07,21,2021,,
BMU,7720201,Dược học,A00;B00;D07,21,2022,,
BMU,7720201,Dược học,A00;B00;D07,21,2023,,
BMU,7720201,Dược học,A00;B00;D07,21,2024,,
BMU,7720201,Dược học,A00;A01;A02;B00;B05;B08;D07,19,2025,,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,22.7,2019,TTNV = 1,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,25.6,2020,TTNV <= 1,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,26.55,2021,TTNV <= 6,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,26.2,2022,TTNV = 1,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,26.33,2023,TTNV = 1,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,25.94,2024,TTNV<=6,
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01;X06;X26,25.25,2025,,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,22.55,2019,TTNV <=2,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,25.75,2020,TTNV <=3,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,26.35,2021,TTNV <= 2,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,26.45,2022,TTNV <= 3,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,25.89,2023,TTNV = 1,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,25.75,2024,TTNV<=2,
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01;X06;X26,24,2025,,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,21.65,2019,TTNV = 1,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,24.6,2020,TTNV <= 2,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,25.9,2021,TTNV <= 4,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,25.55,2022,TTNV  = 1,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,25.15,2023,TTNV <= 6,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,25.17,2024,TTNV<=13,
BVH,7340101,Quản trị kinh doanh,A00;A01;D01;X06;X26,22.75,2025,,
BVH,7340115,Marketing,A00;A01;D01,22.35,2019,TTNV <=5,
BVH,7340115,Marketing,A00;A01;D01,25.5,2020,TTNV <=4,
BVH,7340115,Marketing,A00;A01;D01,26.45,2021,TTNV <= 3,
BVH,7340115,Marketing,A00;A01;D01,26.1,2022,TTNV <= 2,
BVH,7340115,Marketing,A00;A01;D01,25.8,2023,TTNV <= 6,
BVH,7340115,Marketing,A00;A01;D01,25.85,2024,TTNV<=3,
BVH,7340115,Marketing,A00;A01;D01;X06;X26,24,2025,,
BVH,7340122,Thương mại điện tử,A00;A01;D01,22.45,2019,TTNV <=2,
BVH,7340122,Thương mại điện tử,A00;A01;D01,25.7,2020,TTNV <=4,
BVH,7340122,Thương mại điện tử,A00;A01;D01,26.5,2021,TTNV <= 4,
BVH,7340122,Thương mại điện tử,A00;A01;D01,26.35,2022,TTNV <= 3,
BVH,7340122,Thương mại điện tử,A00;A01;D01,26.2,2023,TTNV <= 2,
BVH,7340122,Thương mại điện tử,A00;A01;D01,26.09,2024,TTNV<=2,
BVH,7340122,Thương mại điện tử,A00;A01;D01;X06;X26,25.1,2025,,
BVH,7340301,Kế toán,A00;A01;D01,21.35,2019,TTNH <=2,
BVH,7340301,Kế toán,A00;A01;D01,24.35,2020,TTNV <=4,
BVH,7340301,Kế toán,A00;A01;D01,25.75,2021,TTNV <= 2,
BVH,7340301,Kế toán,A00;A01;D01,25.35,2022,TTNV <= 8,
BVH,7340301,Kế toán,A00;A01;D01,25.05,2023,TTNV <= 3,
BVH,7340301,Kế toán,A00;A01;D01,25.29,2024,TTNV<=16,
BVH,7340301,Kế toán,A00;A01;D01;X06;X26,22.5,2025,,
BVH,7480201,Công nghệ thông tin,A00;A01,24.1,2019,TTNV = 1,
BVH,7480201,Công nghệ thông tin,A00;A01,26.65,2020,TTNV <= 3,
BVH,7480201,Công nghệ thông tin,A00;A01,26.9,2021,TTNV = 1,
BVH,7480201,Công nghệ thông tin,A00;A01,27.25,2022,TTNV = 1,
BVH,7480201,Công nghệ thông tin,A00;A01,26.59,2023,TTNV = 1,
BVH,7480201,Công nghệ thông tin,A00;A01,26.4,2024,TTNV<=5,
BVH,7480201,Công nghệ thông tin,A00;A01;X06;X26,25.8,2025,,
BVH,7480202,An toàn thông tin,A00;A01,23.35,2019,TTNV <=3,
BVH,7480202,An toàn thông tin,A00;A01,26.25,2020,TTNV <= 10,
BVH,7480202,An toàn thông tin,A00;A01,26.55,2021,TTNV <= 5,
BVH,7480202,An toàn thông tin,A00;A01,26.7,2022,TTNV <= 3,
BVH,7480202,An toàn thông tin,A00;A01,26.04,2023,TTNV <= 3,
BVH,7480202,An toàn thông tin,A00;A01,25.85,2024,TTNV<=2,
BVH,7480202,An toàn thông tin,A00;A01;X06;X26,25.21,2025,,
BVH,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01,21.05,2019,TTNV = 1,
BVH,7510301,"Công nghệ KT Điện, điện tử",A00;A01,24.75,2020,TTNV<= 3,
BVH,7510301,"Công nghệ kỹ thuật Điện, điện tử",A00;A01,25.35,2021,TTNV <= 7,
BVH,7510301,"Công nghệ kỹ thuật Điện, điện tử",A00;A01,25.1,2022,TTNV <= 2,
BVH,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01,25.01,2023,TTNV = 1,
BVH,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01,25.46,2024,TTNV<=2,
BVH,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01;X06;X26,24.61,2025,,
BVH,7520207,Kỹ thuật điện tử - viễn thông,A00;A01,21.95,2019,TTNV <=4,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.25,2020,TTNV <= 4,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.65,2021,TTNV = 1,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.6,2022,TTNV <= 3,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.68,2023,TTNV = 1,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.75,2024,TTNV= 1,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01;X06;X26,25.1,2025,,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,21,2019,TTNV <= 6,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,23.8,2020,TTNV <= 8,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,25.05,2021,TTNV <= 20,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,24.25,2022,TTNV <= 8,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,24.05,2023,TTNV = 1,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,23.95,2024,TTNV<=3,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01;X06;X26,21.35,2025,,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,19.7,2019,TTNV <= 3,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,23.5,2020,TTNV <= 6,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,25,2021,TTNV <= 11,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,21.7,2022,TTNV <= 3,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,22.8,2023,TTNV <= 16,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,18.4,2024,TTNV<=3,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01;X06;X26,17.2,2025,,
BVS,7340115,Marketing,A00;A01;D01,21.2,2019,TTNV <= 6,
BVS,7340115,Marketing,A00;A01;D01,24.6,2020,TTNV <= 6,
BVS,7340115,Marketing,A00;A01;D01,25.65,2021,TTNV <= 6,
BVS,7340115,Marketing,A00;A01;D01,24.85,2022,TTNV <= 7,
BVS,7340115,Marketing,A00;A01;D01,24.1,2023,TTNV <= 7,
BVS,7340115,Marketing,A00;A01;D01,24.24,2024,TTNV<=5,
BVS,7340115,Marketing,A00;A01;D01;X06;X26,21.25,2025,,
BVS,7340301,Kế toán,A00;A01;D01,18,2019,TTNV <= 12,
BVS,7340301,Kế toán,A00;A01;D01,21.7,2020,TTNV <=4,
BVS,7340301,Kế toán,A00;A01;D01,23.95,2021,TTNV <= 7,
BVS,7340301,Kế toán,A00;A01;D01,22.9,2022,TTNV <= 7,
BVS,7340301,Kế toán,A00;A01;D01,20,2023,TTNV = 1,
BVS,7340301,Kế toán,A00;A01;D01,20.95,2024,TTNV<=23,
BVS,7340301,Kế toán,A00;A01;D01;X06;X26,16.25,2025,,
BVS,7480201,Công nghệ thông tin,A00;A01,22,2019,TTNV <= 6,
BVS,7480201,Công nghệ thông tin,A00;A01,25.1,2020,TTNV <= 11,
BVS,7480201,Công nghệ thông tin,A00;A01,25.9,2021,TTNV <= 9,
BVS,7480201,Công nghệ thông tin,A00;A01,25.85,2022,TTNV <= 7,
BVS,7480201,Công nghệ thông tin,A00;A01,25.1,2023,TTNV <= 10,
BVS,7480201,Công nghệ thông tin,A00;A01,25.17,2024,TTNV<=8,
BVS,7480201,Công nghệ thông tin,A00;A01;X06;X26,23.47,2025,,
BVS,7480202,An toàn thông tin,A00;A01,20,2019,TTNV = 0,
